שם הספר,שנת הדפסה,מחבר,מקום הדפסה,קטגורייה,מקור,textFileURL,nikudMetegFileURL,OCRDataURL,ocrFeDir,שם הספר [אנגלית],קטגורייה [אנגלית],מחבר [אנגלית],מקום הדפסה [אנגלית],underwentBerelUnflagging,fileName
אחיעזר חלק חלק ג,1922,רבי חיים עוזר גרודזינסקי,וילנא,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/achiezer3/achiezer3__text_files.zip,https://files.dicta.org.il/achiezer3/achiezer3__nikud_meteg_files.zip,https://files.dicta.org.il/achiezer3/achiezer3__ocr_data_html_files.zip,achiezer3_EGT,Achiezer part 3,Responsa,Chaim Ozer Grodzinski,Vilna,,achiezer3
אפיקי ים חלק א,1905,רבי יחיאל מיכל רבינוביץ,וילנא,ספרי מערכות ועניינים,ספריית דיקטה,https://files.dicta.org.il/afikeiyam1/afikeiyam1__text_files.zip,https://files.dicta.org.il/afikeiyam1/afikeiyam1__nikud_meteg_files.zip,https://files.dicta.org.il/afikeiyam1/afikeiyam1__ocr_data_html_files.zip,afikeiyam1_EGT,Afikei Yam part 1,Chiddushim by Topic,Rabbi Yechiel Michal Rabinowitz,Vilna,,afikeiyam1
אגודת אזוב אורח חיים,1885,רבי משה זאב וולף מרגליות,וילנא,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/aggudatezovorachchayim/aggudatezovorachchayim__text_files.zip,https://files.dicta.org.il/aggudatezovorachchayim/aggudatezovorachchayim__nikud_meteg_files.zip,https://files.dicta.org.il/aggudatezovorachchayim/aggudatezovorachchayim__ocr_data_html_files.zip,aggudatezovorachchayim,Aggudat Ezov Orach Chayim,Responsa,Rabbi Moshe Ze'ev Wolf of Margaliot,Vilna,,aggudatezovorachchayim
אגודת אזוב יורה דעה,1885,רבי משה זאב וולף מרגליות,וילנא,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/aggudatezovyorehdeah/aggudatezovyorehdeah__text_files.zip,https://files.dicta.org.il/aggudatezovyorehdeah/aggudatezovyorehdeah__nikud_meteg_files.zip,https://files.dicta.org.il/aggudatezovyorehdeah/aggudatezovyorehdeah__ocr_data_html_files.zip,aggudatezovyorehdeah,Aggudat Ezov Yoreh Deah,Responsa,Rabbi Moshe Ze'ev Wolf of Margaliot,Vilna,,aggudatezovyorehdeah
אלפא ביתא,1878,ר' צבי הירש מנדבורנא,וורשה,ספרי חסידות,ספריית דיקטה,https://files.dicta.org.il/alfabeita/alfabeita__text_files.zip,https://files.dicta.org.il/alfabeita/alfabeita__nikud_meteg_files.zip,https://files.dicta.org.il/alfabeita/alfabeita__ocr_data_html_files.zip,alfabeita_EGT,Alfa Beita,Sifrei Chasidut,R. Zvi Hirsch of Ndvorna,Warsaw,,alfabeita
עמוד העבודה,1884,ברוך בן אברהם מקוסוב,יוזפוב,ספרי חסידות,ספריית דיקטה,https://files.dicta.org.il/amudhaavodah/amudhaavodah__text_files.zip,https://files.dicta.org.il/amudhaavodah/amudhaavodah__nikud_meteg_files.zip,https://files.dicta.org.il/amudhaavodah/amudhaavodah__ocr_data_html_files.zip,amudhaavodah,Amud haAvodah,Sifrei Chasidut,"Kasber, Baruch",Jozefow,,amudhaavodah
ערוך לנר ראש השנה,1875,הרב יעקב יוקב אֶטלינגר,ווארשא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/aruchlanerroshhashanah/aruchlanerroshhashanah__text_files.zip,https://files.dicta.org.il/aruchlanerroshhashanah/aruchlanerroshhashanah__nikud_meteg_files.zip,https://files.dicta.org.il/aruchlanerroshhashanah/aruchlanerroshhashanah__ocr_data_html_files.zip,aruchlanerroshhashanah_EGT,Aruch Laner Rosh Hashanah,Acharonim on Talmud Bavli,Yaakov Etlinger,Warsaw,,aruchlanerroshhashanah
ערוך לנר סנהדרין,1875,הרב יעקב יוקב אֶטלינגר,ווארשא,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/aruchlanersanhedrin/aruchlanersanhedrin__text_files.zip,https://files.dicta.org.il/aruchlanersanhedrin/aruchlanersanhedrin__nikud_meteg_files.zip,https://files.dicta.org.il/aruchlanersanhedrin/aruchlanersanhedrin__ocr_data_html_files.zip,aruchlanersanhedrin_EGT,Aruch Laner Sanhedrin,Acharonim on Talmud Bavli,Yaakov Etlinger,Warsaw,,aruchlanersanhedrin
אספת גאונים,1895,"רבי יעקב מלובלין, רבי העשיל מקראקא, חלקת מחוקק",לובלין,"שו""ת",,https://files.dicta.org.il/asefatgeonim/asefatgeonim__text_files.zip,https://files.dicta.org.il/asefatgeonim/asefatgeonim__nikud_meteg_files.zip,https://files.dicta.org.il/asefatgeonim/asefatgeonim__ocr_data_html_files.zip,asefatgeonim_EGT,Asefat Geonim,Responsa,"rabbi yaakov lublin, rabbi heschel mikraka, Chelkat Mechokek",Lublin,,asefatgeonim
אשר לשלמה,1906,רבי שלמה בן משה אבן דנאן,ירושלים,"שו""ת",,https://files.dicta.org.il/asherlishlomo/asherlishlomo__text_files.zip,https://files.dicta.org.il/asherlishlomo/asherlishlomo__nikud_meteg_files.zip,https://files.dicta.org.il/asherlishlomo/asherlishlomo__ocr_data_html_files.zip,asherlishlomo_EGT,Asher LiShlomo,Responsa,Shlomo Ibn Danan,Jerusalem,,asherlishlomo
עטרת חכמים חלק א,1866,הרב ברוך פרנקל תאומים,יוזפוב,"שו""ת",ספריית דיקטה,https://files.dicta.org.il/ateretchachamim1/ateretchachamim1__text_files.zip,https://files.dicta.org.il/ateretchachamim1/ateretchachamim1__nikud_meteg_files.zip,https://files.dicta.org.il/ateretchachamim1/ateretchachamim1__ocr_data_html_files.zip,ateretchachamim1,Ateret Chachamim part 1,Responsa,"Frankel-Teumim, Boruch",Jozefow,,ateretchachamim1
עטרת חכמים חלק ב,1866,הרב ברוך פרנקל תאומים,יוזפוב,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,https://files.dicta.org.il/ateretchachamim2/ateretchachamim2__text_files.zip,https://files.dicta.org.il/ateretchachamim2/ateretchachamim2__nikud_meteg_files.zip,https://files.dicta.org.il/ateretchachamim2/ateretchachamim2__ocr_data_html_files.zip,ateretchachamim2,Ateret Chachamim part 2,Acharonim on Talmud Bavli,"Frankel-Teumim, Boruch",Jozefow,,ateretchachamim2
אתוון דאורייתא,1891,ר' יוסף ענגיל,לבוב,ספרי מערכות ועניינים,ספריית דיקטה,https://files.dicta.org.il/atvandeoraita/atvandeoraita__text_files.zip,https://files.dicta.org.il/atvandeoraita/atvandeoraita__nikud_meteg_files.zip,https://files.dicta.org.il/atvandeoraita/atvandeoraita__ocr_data_html_files.zip,atvandeoraita_EGT,Atvan De-Oraita,Chiddushim by Topic,Rabbi Yosef Engil,Lʹviv,,atvandeoraita
