underwentBerelUnflagging,categoryEnglish,printYear,ocrFeDir,printLocationEnglish,textFileURL,notHumanReviewed,category,source,author,printLocation,displayName,nikudMetegFileURL,OCRDataURL,authorEnglish,fileName,displayNameEnglish
,Responsa,1922,achiezer_EGT,Vilna,https://files.dicta.org.il/achiezer/achiezer__text_files.zip,,"שו""ת",ספריית דיקטה,רבי חיים עוזר גרודזינסקי,וילנא,אחיעזר חלק אבן העזר,https://files.dicta.org.il/achiezer/achiezer__nikud_meteg_files.zip,https://files.dicta.org.il/achiezer/achiezer__ocr_data_html_files.zip,Chaim Ozer Grodzinski,achiezer,Achiezer Even Haezer
,Responsa,1922,achiezer3_EGT,Vilna,https://files.dicta.org.il/achiezer3/achiezer3__text_files.zip,,"שו""ת",ספריית דיקטה,רבי חיים עוזר גרודזינסקי,וילנא,אחיעזר חלק חלק ג,https://files.dicta.org.il/achiezer3/achiezer3__nikud_meteg_files.zip,https://files.dicta.org.il/achiezer3/achiezer3__ocr_data_html_files.zip,Chaim Ozer Grodzinski,achiezer3,Achiezer part 3
,Chiddushim by Topic,1905,afikeiyam1_EGT,Vilna,https://files.dicta.org.il/afikeiyam1/afikeiyam1__text_files.zip,,ספרי מערכות ועניינים,ספריית דיקטה,רבי יחיאל מיכל רבינוביץ,וילנא,אפיקי ים חלק א,https://files.dicta.org.il/afikeiyam1/afikeiyam1__nikud_meteg_files.zip,https://files.dicta.org.il/afikeiyam1/afikeiyam1__ocr_data_html_files.zip,Rabbi Yechiel Michal Rabinowitz,afikeiyam1,Afikei Yam part 1
,Responsa,1885,aggudatezovorachchayim,Vilna,https://files.dicta.org.il/aggudatezovorachchayim/aggudatezovorachchayim__text_files.zip,,"שו""ת",ספריית דיקטה,רבי משה זאב וולף מרגליות,וילנא,אגודת אזוב אורח חיים,https://files.dicta.org.il/aggudatezovorachchayim/aggudatezovorachchayim__nikud_meteg_files.zip,https://files.dicta.org.il/aggudatezovorachchayim/aggudatezovorachchayim__ocr_data_html_files.zip,Rabbi Moshe Ze'ev Wolf of Margaliot,aggudatezovorachchayim,Aggudat Ezov Orach Chayim
,Responsa,1885,aggudatezovyorehdeah,Vilna,https://files.dicta.org.il/aggudatezovyorehdeah/aggudatezovyorehdeah__text_files.zip,,"שו""ת",ספריית דיקטה,רבי משה זאב וולף מרגליות,וילנא,אגודת אזוב יורה דעה,https://files.dicta.org.il/aggudatezovyorehdeah/aggudatezovyorehdeah__nikud_meteg_files.zip,https://files.dicta.org.il/aggudatezovyorehdeah/aggudatezovyorehdeah__ocr_data_html_files.zip,Rabbi Moshe Ze'ev Wolf of Margaliot,aggudatezovyorehdeah,Aggudat Ezov Yoreh Deah
,Acharonim on Talmud Bavli,1879,agudasezovmidivri,Petrikow,https://files.dicta.org.il/agudasezovmidivri/agudasezovmidivri__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,ר' מיכאל דב ויינגוט,פיוטרקוב,אגודת אזוב מדברי,https://files.dicta.org.il/agudasezovmidivri/agudasezovmidivri__nikud_meteg_files.zip,https://files.dicta.org.il/agudasezovmidivri/agudasezovmidivri__ocr_data_html_files.zip,Michiel Dov Ben Issachar Weingot,agudasezovmidivri,Agudas Ezov miDivri
,Derashot,1903,ahavatolam,Jerusalem,https://files.dicta.org.il/ahavatolam/ahavatolam__text_files.zip,,דרשות ודרושים,ספריית דיקטה,ר' דוד יוסף פרחי,ירושלים,אהבת עולם,https://files.dicta.org.il/ahavatolam/ahavatolam__nikud_meteg_files.zip,https://files.dicta.org.il/ahavatolam/ahavatolam__ocr_data_html_files.zip,Rabbi David Yosef Perahi,ahavatolam,Ahavat Olam
,Sifrei Chasidut,1878,alfabeita_EGT,Warsaw,https://files.dicta.org.il/alfabeita/alfabeita__text_files.zip,,ספרי חסידות,ספריית דיקטה,ר' צבי הירש מנדבורנא,וורשה,אלפא ביתא,https://files.dicta.org.il/alfabeita/alfabeita__nikud_meteg_files.zip,https://files.dicta.org.il/alfabeita/alfabeita__ocr_data_html_files.zip,R. Zvi Hirsch of Ndvorna,alfabeita,Alfa Beita
,Derashot,1888,amudehashivah,Lvov,https://files.dicta.org.il/amudehashivah/amudehashivah__text_files.zip,,דרשות,ספריית דיקטה,בצלאל בן שלמה מקוברין,לבוב,עמודיה שבעה,https://files.dicta.org.il/amudehashivah/amudehashivah__nikud_meteg_files.zip,https://files.dicta.org.il/amudehashivah/amudehashivah__ocr_data_html_files.zip,Bezalel ben Shlomo of Kobrin,amudehashivah,Amudeha shivah
,Sifrei Chasidut,1884,amudhaavodah,Jozefow,https://files.dicta.org.il/amudhaavodah/amudhaavodah__text_files.zip,,ספרי חסידות,ספריית דיקטה,ברוך בן אברהם מקוסוב,יוזפוב,עמוד העבודה,https://files.dicta.org.il/amudhaavodah/amudhaavodah__nikud_meteg_files.zip,https://files.dicta.org.il/amudhaavodah/amudhaavodah__ocr_data_html_files.zip,"Kasber, Baruch",amudhaavodah,Amud haAvodah
,Responsa,1887,artzosyehudah,Vilna,https://files.dicta.org.il/artzosyehudah/artzosyehudah__text_files.zip,,"שו""ת",ספריית דיקטה,"דבורץ, יהודה ליב בן שלום",וילנא,ארצות י-הודה,https://files.dicta.org.il/artzosyehudah/artzosyehudah__nikud_meteg_files.zip,https://files.dicta.org.il/artzosyehudah/artzosyehudah__ocr_data_html_files.zip,Yehudah Leib Daboretz,artzosyehudah,Artzos Yehudah
,Acharonim on Talmud Bavli,1875,aruchlanerroshhashanah_EGT,Warsaw,https://files.dicta.org.il/aruchlanerroshhashanah/aruchlanerroshhashanah__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,הרב יעקב יוקב אֶטלינגר,ווארשא,ערוך לנר ראש השנה,https://files.dicta.org.il/aruchlanerroshhashanah/aruchlanerroshhashanah__nikud_meteg_files.zip,https://files.dicta.org.il/aruchlanerroshhashanah/aruchlanerroshhashanah__ocr_data_html_files.zip,Yaakov Etlinger,aruchlanerroshhashanah,Aruch Laner Rosh Hashanah
,Acharonim on Talmud Bavli,1875,aruchlanersanhedrin_EGT,Warsaw,https://files.dicta.org.il/aruchlanersanhedrin/aruchlanersanhedrin__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,הרב יעקב יוקב אֶטלינגר,ווארשא,ערוך לנר סנהדרין,https://files.dicta.org.il/aruchlanersanhedrin/aruchlanersanhedrin__nikud_meteg_files.zip,https://files.dicta.org.il/aruchlanersanhedrin/aruchlanersanhedrin__ocr_data_html_files.zip,Yaakov Etlinger,aruchlanersanhedrin,Aruch Laner Sanhedrin
,Acharonim on Talmud Bavli,1891,aruchlaneryevamot,Jerusalem,https://files.dicta.org.il/aruchlaneryevamot/aruchlaneryevamot__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,הרב יעקב יוקב אֶטלינגר,ירושלים,ערוך לנר יבמות,https://files.dicta.org.il/aruchlaneryevamot/aruchlaneryevamot__nikud_meteg_files.zip,https://files.dicta.org.il/aruchlaneryevamot/aruchlaneryevamot__ocr_data_html_files.zip,Yaakov Etlinger,aruchlaneryevamot,Aruch La-Ner (Yevamot)
,Responsa,1895,asefatgeonim_EGT,Lublin,https://files.dicta.org.il/asefatgeonim/asefatgeonim__text_files.zip,,"שו""ת",,"רבי יעקב מלובלין, רבי העשיל מקראקא, חלקת מחוקק",לובלין,אספת גאונים,https://files.dicta.org.il/asefatgeonim/asefatgeonim__nikud_meteg_files.zip,https://files.dicta.org.il/asefatgeonim/asefatgeonim__ocr_data_html_files.zip,"rabbi yaakov lublin, rabbi heschel mikraka, Chelkat Mechokek",asefatgeonim,Asefat Geonim
,Responsa,1906,asherlishlomo_EGT,Jerusalem,https://files.dicta.org.il/asherlishlomo/asherlishlomo__text_files.zip,,"שו""ת",,רבי שלמה בן משה אבן דנאן,ירושלים,אשר לשלמה,https://files.dicta.org.il/asherlishlomo/asherlishlomo__nikud_meteg_files.zip,https://files.dicta.org.il/asherlishlomo/asherlishlomo__ocr_data_html_files.zip,Shlomo Ibn Danan,asherlishlomo,Asher LiShlomo
,Acharonim on Talmud Bavli,1927,asirithaefah1,Piotrkow,https://files.dicta.org.il/asirithaefah1/asirithaefah1__text_files.zip,,"מפרשי הש""ס",ספריית דיקטה,"וואלפיש, ירוחם יהודה ליב בן אהרן",פיוטרקוב,עשירית האיפה חלק א,https://files.dicta.org.il/asirithaefah1/asirithaefah1__nikud_meteg_files.zip,https://files.dicta.org.il/asirithaefah1/asirithaefah1__ocr_data_html_files.zip,"Volfish, Yeruham Yehudah Leyb ben Aharon",asirithaefah1,Asirit ha-efah part 1
,Responsa,1866,ateretchachamim1,Jozefow,https://files.dicta.org.il/ateretchachamim1/ateretchachamim1__text_files.zip,,"שו""ת",ספריית דיקטה,הרב ברוך פרנקל תאומים,יוזפוב,עטרת חכמים חלק א,https://files.dicta.org.il/ateretchachamim1/ateretchachamim1__nikud_meteg_files.zip,https://files.dicta.org.il/ateretchachamim1/ateretchachamim1__ocr_data_html_files.zip,"Frankel-Teumim, Boruch",ateretchachamim1,Ateret Chachamim part 1
,Acharonim on Talmud Bavli,1866,ateretchachamim2,Jozefow,https://files.dicta.org.il/ateretchachamim2/ateretchachamim2__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,הרב ברוך פרנקל תאומים,יוזפוב,עטרת חכמים חלק ב,https://files.dicta.org.il/ateretchachamim2/ateretchachamim2__nikud_meteg_files.zip,https://files.dicta.org.il/ateretchachamim2/ateretchachamim2__ocr_data_html_files.zip,"Frankel-Teumim, Boruch",ateretchachamim2,Ateret Chachamim part 2
,Chiddushim by Topic,1891,atvandeoraita_EGT,Lʹviv,https://files.dicta.org.il/atvandeoraita/atvandeoraita__text_files.zip,,ספרי מערכות ועניינים,ספריית דיקטה,ר' יוסף ענגיל,לבוב,אתוון דאורייתא,https://files.dicta.org.il/atvandeoraita/atvandeoraita__nikud_meteg_files.zip,https://files.dicta.org.il/atvandeoraita/atvandeoraita__ocr_data_html_files.zip,Rabbi Yosef Engil,atvandeoraita,Atvan De-Oraita
,Responsa,1903,atzeibroshimversion1,Vilnius,https://files.dicta.org.il/atzeibroshimversion1/atzeibroshimversion1__text_files.zip,,"שו""ת",,הרב שלמה כהן,וילנא,עצי ברושים,https://files.dicta.org.il/atzeibroshimversion1/atzeibroshimversion1__nikud_meteg_files.zip,https://files.dicta.org.il/atzeibroshimversion1/atzeibroshimversion1__ocr_data_html_files.zip,harav shlomo cohen,atzeibroshimversion1,Atse beroshim
,Derashot,1934,atzeichaimmoadim,Sighet,https://files.dicta.org.il/atzeichaimmoadim/atzeichaimmoadim__text_files.zip,,דרשות ודרושים,ספריית דיקטה,"טייטלבוים, חיים צבי בן חנניה יום טוב ליפא",סיגט,עצי חיים על מועדים,https://files.dicta.org.il/atzeichaimmoadim/atzeichaimmoadim__nikud_meteg_files.zip,https://files.dicta.org.il/atzeichaimmoadim/atzeichaimmoadim__ocr_data_html_files.zip,"Teitelbaum, Chaim Tzvi",atzeichaimmoadim,Atzei Chaim Moadim
,Acharonim on Talmud Bavli,1883,atzmotyosefkiddushin_EGT,Warsaw,https://files.dicta.org.il/atzmotyosefkiddushin/atzmotyosefkiddushin__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,רבי יוסף אבן עזרא,ווארשא,עצמות יוסף על קידושין,https://files.dicta.org.il/atzmotyosefkiddushin/atzmotyosefkiddushin__nikud_meteg_files.zip,https://files.dicta.org.il/atzmotyosefkiddushin/atzmotyosefkiddushin__ocr_data_html_files.zip,Josef ben Isaac ibn Ezra,atzmotyosefkiddushin,Atzmot Yosef (Kiddushin)
,Halachah and Minhagim,1927,avbehokhmah,New York,https://files.dicta.org.il/avbehokhmah/avbehokhmah__text_files.zip,,ספרי הלכה ומנהג,ספריית דיקטה,"יודלביץ, אברהם אהרן בן בנימין בונם",ניו יורק,אב בחכמה,https://files.dicta.org.il/avbehokhmah/avbehokhmah__nikud_meteg_files.zip,https://files.dicta.org.il/avbehokhmah/avbehokhmah__ocr_data_html_files.zip,"Yudelovits, Avraham Aharon ben B",avbehokhmah,Av be-hokhmah
,Derashot,1854,avihanachal,Koenigsberg,https://files.dicta.org.il/avihanachal/avihanachal__text_files.zip,,דרשות,ספריית דיקטה,"שפירא, יהושע איזיק בן יחיאל",קניגסברג,אבי הנחל,https://files.dicta.org.il/avihanachal/avihanachal__nikud_meteg_files.zip,https://files.dicta.org.il/avihanachal/avihanachal__ocr_data_html_files.zip,Yehoshua Izaik bar Yehiel Shapiro,avihanachal,Avi haNachal
,Responsa,1859,avkatrochel_EGT,Leipzig,https://files.dicta.org.il/avkatrochel/avkatrochel__text_files.zip,,"שו""ת",,רבי יוסף בן אפרים קארו,לייפציג,אבקת רוכל,https://files.dicta.org.il/avkatrochel/avkatrochel__nikud_meteg_files.zip,https://files.dicta.org.il/avkatrochel/avkatrochel__ocr_data_html_files.zip,Joseph Karo,avkatrochel,Avkat Rochel
,Responsa,1947,avneichefetz,Munich,https://files.dicta.org.il/avneichefetz/avneichefetz__text_files.zip,,"שו""ת",ספריית דיקטה,הרב אהרן לוין,מינכן,אבני חפץ,https://files.dicta.org.il/avneichefetz/avneichefetz__nikud_meteg_files.zip,https://files.dicta.org.il/avneichefetz/avneichefetz__ocr_data_html_files.zip,Aharon Levin,avneichefetz,Avnei Chefetz
,Responsa,1913,avneihaephod_EGT,,https://files.dicta.org.il/avneihaephod/avneihaephod__text_files.zip,,"שו""ת",,רבי דוד פיפאנו,סופיה,אבני האפוד,https://files.dicta.org.il/avneihaephod/avneihaephod__nikud_meteg_files.zip,https://files.dicta.org.il/avneihaephod/avneihaephod__ocr_data_html_files.zip,Rabbi David Pipano,avneihaephod,Avnei HaEphod
,Responsa,1860,avneimiluim_EGT,Halberstadt,https://files.dicta.org.il/avneimiluim/avneimiluim__text_files.zip,,"שו""ת",,רבי אריה לייב הכהן,הלברשטאט,אבני מילואים,https://files.dicta.org.il/avneimiluim/avneimiluim__nikud_meteg_files.zip,https://files.dicta.org.il/avneimiluim/avneimiluim__ocr_data_html_files.zip,rabbi aryeh leib hacohen,avneimiluim,Avnei Milu'im
,Responsa,1934,avneinezerchoshenmishpat_EGT,Piotrkow,https://files.dicta.org.il/avneinezerchoshenmishpat/avneinezerchoshenmishpat__text_files.zip,,"שו""ת",,רבי אברהם בורנשטיין, פיעטרקוב,אבני נזר חושן משפט,https://files.dicta.org.il/avneinezerchoshenmishpat/avneinezerchoshenmishpat__nikud_meteg_files.zip,https://files.dicta.org.il/avneinezerchoshenmishpat/avneinezerchoshenmishpat__ocr_data_html_files.zip,Avraham Borenstein,avneinezerchoshenmishpat,Avnei Nezer Choshen Mishpat
,Responsa,1926,avneinezerevenhaezer_EGT,Lodz,https://files.dicta.org.il/avneinezerevenhaezer/avneinezerevenhaezer__text_files.zip,,"שו""ת",,רבי אברהם בורנשטיין,לאדז,אבני נזר אבן העזר,https://files.dicta.org.il/avneinezerevenhaezer/avneinezerevenhaezer__nikud_meteg_files.zip,https://files.dicta.org.il/avneinezerevenhaezer/avneinezerevenhaezer__ocr_data_html_files.zip,Avraham Borenstein,avneinezerevenhaezer,Avnei Nezer Even Haezer
,Responsa,1913,avneinezeryorehdeah_EGT,Piotrkow,https://files.dicta.org.il/avneinezeryorehdeah/avneinezeryorehdeah__text_files.zip,,"שו""ת",,רבי אברהם בורנשטיין,פיעטרקוב ,אבני נזר יורה דעה,https://files.dicta.org.il/avneinezeryorehdeah/avneinezeryorehdeah__nikud_meteg_files.zip,https://files.dicta.org.il/avneinezeryorehdeah/avneinezeryorehdeah__ocr_data_html_files.zip,Avraham Borenstein,avneinezeryorehdeah,Avnei Nezer Yoreh Deah
,Responsa,1930,avneishayish1_EGT,Jerusalem,https://files.dicta.org.il/avneishayish1/avneishayish1__text_files.zip,,"שו""ת",,רבי שאול ישועה אביטבול,ירושלים,אבני שיש,https://files.dicta.org.il/avneishayish1/avneishayish1__nikud_meteg_files.zip,https://files.dicta.org.il/avneishayish1/avneishayish1__ocr_data_html_files.zip,rabbi shaul yeshua abitbul,avneishayish1,Avnei Shayish
,Responsa,1930,avneishayish2_EGT,Jerusalem,https://files.dicta.org.il/avneishayish2/avneishayish2__text_files.zip,,"שו""ת",ספריית דיקטה,רבי שאול ישועה אביטבול,ירושלים,אבני שיש חלק א,https://files.dicta.org.il/avneishayish2/avneishayish2__nikud_meteg_files.zip,https://files.dicta.org.il/avneishayish2/avneishayish2__ocr_data_html_files.zip,rabbi shaul yeshua abitbul,avneishayish2,Avnei Shayish part 2
,Acharonim on Talmud Bavli,1907,avodatavodah1,Zholkva,https://files.dicta.org.il/avodatavodah1/avodatavodah1__text_files.zip,,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,שלמה קלוגר,זולקוה,עבודת עבודה חלק א,https://files.dicta.org.il/avodatavodah1/avodatavodah1__nikud_meteg_files.zip,https://files.dicta.org.il/avodatavodah1/avodatavodah1__ocr_data_html_files.zip,Shlomo Kluger,avodatavodah1,Avodat Avodah part 1
,Halachah and Minhagim,1889,avodathacohen,Warsaw,https://files.dicta.org.il/avodathacohen/avodathacohen__text_files.zip,,ספרי הלכה ומנהג,ספריית דיקטה,"טריווש, הילל דוד בן עוזר הכהן",ורשה,עבודת הכהן,https://files.dicta.org.il/avodathacohen/avodathacohen__nikud_meteg_files.zip,https://files.dicta.org.il/avodathacohen/avodathacohen__ocr_data_html_files.zip,"Travis, Hillel Dovid",avodathacohen,Avodat haCohen
,Responsa,1861,avodathagershuni_EGT,,https://files.dicta.org.il/avodathagershuni/avodathagershuni__text_files.zip,,"שו""ת",,רבי גרשון בן יצחק אשכנזי,לבוב,עבודת הגרשוני,https://files.dicta.org.il/avodathagershuni/avodathagershuni__nikud_meteg_files.zip,https://files.dicta.org.il/avodathagershuni/avodathagershuni__ocr_data_html_files.zip,Gershon Ashkenazi,avodathagershuni,Avodat HaGershuni
