תאריך,מסכת,פרק,משנה,סימן,סעיף,ספר הלכה,עברי
14/09/15,טהרות,א-ב,ט-א,תרסב,א-ג,"שו""ע או""ח","א תשרי תשע""ו"
15/09/15,טהרות,ב,ב-ג,תרסג,א-ג,"שו""ע או""ח","ב תשרי תשע""ו"
16/09/15,טהרות,ב,ד-ה,תרסד,א-ג,"שו""ע או""ח","ג תשרי תשע""ו"
17/09/15,טהרות,ב,ו-ז,תרסד,ד-ו,"שו""ע או""ח","ד תשרי תשע""ו"
18/09/15,טהרות,ב-ג,ח-א,תרסד,ז-ט,"שו""ע או""ח","ה תשרי תשע""ו"
19/09/15,טהרות,ג,ב-ג,תרסד-ה,י-א,"שו""ע או""ח","ו תשרי תשע""ו"
20/09/15,טהרות,ג,ד-ה,תרסה-ו-ז,ב-א,"שו""ע או""ח","ז תשרי תשע""ו"
21/09/15,טהרות,ג,ו-ז,תרסח-ט,א-א,"שו""ע או""ח","ח תשרי תשע""ו"
22/09/15,טהרות,ג-ד,ח-א,תרע,א-ג,"שו""ע או""ח","ט תשרי תשע""ו"
23/09/15,טהרות,ד,ב-ג,תרעא,א-ג,"שו""ע או""ח","י תשרי תשע""ו"
24/09/15,טהרות,ד,ד-ה,תרעא,ד-ו,"שו""ע או""ח","יא תשרי תשע""ו"
25/09/15,טהרות,ד,ו-ז,תרעא-ב,ז-א,"שו""ע או""ח","יב תשרי תשע""ו"
26/09/15,טהרות,ד,ח-ט,תרעב-ג,ב-ב,"שו""ע או""ח","יג תשרי תשע""ו"
27/09/15,טהרות,ד,י-יא,תרעג-ד,ג-א,"שו""ע או""ח","יד תשרי תשע""ו"
28/09/15,טהרות,ד,יב-יג,תרעד-ה,ב-ב,"שו""ע או""ח","טו תשרי תשע""ו"
29/09/15,טהרות,ה,א-ב,תרעה-ו,ג-ב,"שו""ע או""ח","טז תשרי תשע""ו"
30/09/15,טהרות,ה,ג-ד,תרעו,ג-ה,"שו""ע או""ח","יז תשרי תשע""ו"
