original path,target path,ForcedBookName,SearchInTitles,LastLevelIndex,CosmeticsType,PasukIndMode,HiddenFromIndex,FilesGotFrom,PutNewLinesAsIs,DisplayName,UniqueId,MixedSources,WeaveLevel,SpecialTitle,MixedDisplay,TextSource,GroupId,BranchName,Comments,RavMechaber,ChainFolderName
000_WELLCOME.obk,אורייתא.txt,,1,0,,0,1,,1,אורייתא,1,,,,0,,,,,,1
100_kblh/013_TomerDevora.obk,קבלה/תומר דבורה.txt,,,1,,,,,,תומר דבורה,1658,,,,,''ויקיטקסט'' תחת רשיון ''GNU Free Doc.',,,,,
100_kblh/021_DaatTvunot.obk,קבלה/דעת תבונות.txt,,,,,,,,,דעת תבונות,1600,,,,,ויקיטקסט,,,,,
100_kblh/017_spra_dzniuota.obk,קבלה/ספרא דצניעותא.txt,,1,1,,0,0,,1,ספרא דצניעותא,1185,,,,0,.,,,,,1
100_kblh/maamar-eikar.obk,קבלה/מאמר העיקרים.txt,,,,,,,,,מאמר העיקרים,4003,,,,,"אתר קהילת הרמח""ל",,,,,
100_kblh/011_mgid_misrim.obk,קבלה/ספר מגיד מישרים.txt,,1,1,,0,0,,1,ספר מגיד מישרים,1180,,,,0,.,,,,,1
100_kblh/006_spr_hpliah.obk,קבלה/ספר הפליאה.txt,,1,1,,0,0,,1,ספר הפליאה,652,,,,0,.,,,,,1
100_kblh/020_toldot_adm_-_spr_hsl''h_hkdos.obk,קבלה/ספר תולדות אדם - של''ה.txt,,,1,,,,,,"ספר תולדות אדם - של""ה",1191,,,כל הזכויות שמורות ל - ''ויקיטקסט'' תחת רשיון ''GNU Free Doc.',,,,,,,
100_kblh/013_spr_hhsml.obk,קבלה/ספר החשמל.txt,,1,0,0,0,0,,1,ספר החשמל,1183,,,,0,.,,,,,1
100_kblh/012_spr_hbhir.obk,קבלה/ספר הבהיר.txt,,1,0,0,0,0,,1,ספר הבהיר,1182,,,,0,.,,,,,1
100_kblh/008_ctbi_hrmhl/kinaat-h.obk,קבלה/כתבי הרמחל/ספר קנאת ה' צבאות.txt,,,,,,,,,ספר קנאת ה' צבאות,20046,,,,,"אתר קהילת הרמח""ל",,,,,
100_kblh/008_ctbi_hrmhl/klalay-pitchay-hochma.obk,קבלה/כתבי הרמחל/כללי פתחי חכמה ודעת.txt,,,,,,,,,כללי פתחי חכמה ודעת,20037,,,,,"אתר קהילת הרמח""ל",,,,,
100_kblh/008_ctbi_hrmhl/tefilot-merkava.obk,קבלה/כתבי הרמחל/תפלות לפנות המרכבה.txt,,,,,,,,,תפלות לפנות המרכבה,20053,,,,,"אתר קהילת הרמח""ל",,,,,
100_kblh/008_ctbi_hrmhl/mamar-hagadot.obk,קבלה/כתבי הרמחל/מאמר על ההגדות.txt,,,,,,,,,מאמר על ההגדות,20052,,,,,"אתר קהילת הרמח""ל",,,,,
100_kblh/008_ctbi_hrmhl/devray-tora.obk,קבלה/כתבי הרמחל/דברי תורה בשם המגיד לרמח''ל.txt,,,,,,,,,"דברי תורה בשם המגיד לרמח""ל",20038,,,,,"אתר קהילת הרמח""ל",,,,,
100_kblh/008_ctbi_hrmhl/pirush-zohar-mishpatim.obk,קבלה/כתבי הרמחל/פירוש מאמר הזוהר ריש משפטים.txt,,,,,,,,,פירוש מאמר הזוהר ריש משפטים,20036,,,,,"אתר קהילת הרמח""ל",,,,,
100_kblh/008_ctbi_hrmhl/derech-etz-haim.obk,קבלה/כתבי הרמחל/ספר דרך עץ חיים.txt,,,,,,,,,ספר דרך עץ חיים,20051,,,,,"אתר קהילת הרמח""ל",,,,,
100_kblh/008_ctbi_hrmhl/mamar-hahochma.obk,קבלה/כתבי הרמחל/מאמר החכמה.txt,,,,,,,,,מאמר החכמה,20040,,,,,"אתר קהילת הרמח""ל",,,,,
100_kblh/008_ctbi_hrmhl/pirush-arimat.obk,קבלה/כתבי הרמחל/פירוש מאמר ארימת ידי בצלותין.txt,,,,,,,,,פירוש מאמר ארימת ידי בצלותין,20044,,,,,"אתר קהילת הרמח""ל",,,,,
100_kblh/008_ctbi_hrmhl/klalut-s-hochma.obk,קבלה/כתבי הרמחל/ספר כללות שרשי החכמה.txt,,,,,,,,,ספר כללות שרשי החכמה,20034,,,,,"אתר קהילת הרמח""ל",,,,,
100_kblh/008_ctbi_hrmhl/klalay-kinaat-h.obk,קבלה/כתבי הרמחל/כללי ספר קנאת ה' צבאות.txt,,,,,,,,,כללי ספר קנאת ה' צבאות,20045,,,,,"אתר קהילת הרמח""ל",,,,,
100_kblh/008_ctbi_hrmhl/klalay-milchmot-moshe.obk,קבלה/כתבי הרמחל/כללי ספר מלחמות משה.txt,,,,,,,,,כללי ספר מלחמות משה,20043,,,,,"אתר קהילת הרמח""ל",,,,,
100_kblh/008_ctbi_hrmhl/pirush-miketz.obk,קבלה/כתבי הרמחל/פירוש למאמר ויהי מקץ.txt,,,,,,,,,פירוש למאמר ויהי מקץ,20042,,,,,"אתר קהילת הרמח""ל",,,,,
100_kblh/008_ctbi_hrmhl/klach.obk,קבלה/כתבי הרמחל/קלח פתחי חכמה.txt,,,,,,,,,קלח פתחי חכמה,20058,,,,,"אתר קהילת הרמח""ל",,,,,
