original path,target path,ForcedBookName,SearchInTitles,LastLevelIndex,CosmeticsType,PasukIndMode,HiddenFromIndex,FilesGotFrom,PutNewLinesAsIs,DisplayName,UniqueId,MixedSources,WeaveLevel,SpecialTitle,MixedDisplay,TextSource,GroupId,BranchName,Comments,RavMechaber,ChainFolderName
000_WELLCOME.obk,אורייתא.txt,,1,0,,0,1,,1,אורייתא,1,,,,0,,,,,,1
001_mkra\01_torh\a01_Genesis.obk,מקרא\תורה\בראשית.txt,,1,2,,0,0,,1,בראשית,760,"(1623, 1588, 1418, 1613, 1583, 1618, 1608, 1646, 1861, 1856)",,,0,,b1,,,,1
001_mkra\01_torh\a02_Exodus.obk,מקרא\תורה\שמות.txt,,1,2,,0,0,,1,שמות,761,"(1624, 1589, 1419, 1614, 1584, 1619, 1609, 1647, 1862, 1857)",,,0,,b2,,,,1
001_mkra\01_torh\a03_Leviticus.obk,מקרא\תורה\ויקרא.txt,,1,2,,0,0,,1,ויקרא,762,"(1625, 1590, 1421, 1615, 1585, 1620, 1610, 1648, 1863, 1858)",,,0,,b3,,,,1
001_mkra\01_torh\a04_Numbers.obk,מקרא\תורה\במדבר.txt,,1,2,,0,0,,1,במדבר,763,"(1626, 1591, 1420, 1616, 1586, 1621, 1611, 1649, 1864, 1859)",,,0,,b4,,,,1
001_mkra\01_torh\a05_Deuteronomy.obk,מקרא\תורה\דברים.txt,,1,2,,0,0,,1,דברים,764,"(1627, 1592, 1422, 1617, 1587, 1622, 1612, 1650, 1865, 1860)",,,0,,b5,,,,1
001_mkra\02_nbiaim\a06_Joshua.obk,מקרא\נביאים\יהושע.txt,,1,2,,0,0,,1,יהושע,765,"(1384, 1423, 1520, 1530)",,,0,,b6,,,,1
001_mkra\02_nbiaim\a07_Judges.obk,מקרא\נביאים\שופטים.txt,,1,2,,0,0,,1,שופטים,766,"(1385, 1430, 1523, 1531)",,,0,,b7,,,,1
001_mkra\02_nbiaim\a08_Samuel_1.obk,מקרא\נביאים\שמואל א.txt,,1,2,,0,0,,1,שמואל א,767,"(1386, 1464, 1524, 1532)",,,0,,b8,,,,1
001_mkra\02_nbiaim\a09_Samuel_2.obk,מקרא\נביאים\שמואל ב.txt,,1,2,,0,0,,1,שמואל ב,768,"(1387, 1466, 1525, 1533)",,,0,,b9,,,,1
001_mkra\02_nbiaim\a10_Kings_1.obk,מקרא\נביאים\מלכים א.txt,,1,2,,0,0,,1,מלכים א,769,"(1388, 1465, 1521, 1534)",,,0,,b10,,,,1
001_mkra\02_nbiaim\a11_Kings_2.obk,מקרא\נביאים\מלכים ב.txt,,1,2,,0,0,,1,מלכים ב,770,"(1389, 1467, 1526, 1535)",,,0,,b11,,,,1
001_mkra\02_nbiaim\a12_Isaiah.obk,מקרא\נביאים\ישעיה.txt,,1,2,,0,0,,1,ישעיה,771,"(1392, 1482, 1522)",,,0,,b12,,,,1
001_mkra\02_nbiaim\a13_Jeremiah.obk,מקרא\נביאים\ירמיה.txt,,1,2,,0,0,,1,ירמיה,772,"(1390, 1481, 1517)",,,0,,b13,,,,1
001_mkra\02_nbiaim\a14_Ezekiel.obk,מקרא\נביאים\יחזקאל.txt,,1,2,,0,0,,1,יחזקאל,773,"(1391, 1473, 1519)",,,0,,b14,,,,1
001_mkra\02_nbiaim\a15_Hosea.obk,מקרא\נביאים\הושע.txt,,1,2,,0,0,,1,הושע,774,"(1393, 1474, 1503)",,,0,,b15,,,,1
001_mkra\02_nbiaim\a16_Joel.obk,מקרא\נביאים\יואל.txt,,1,2,,0,0,,1,יואל,775,"(1394, 1483, 1504)",,,0,,b16,,,,1
001_mkra\02_nbiaim\a17_Amos.obk,מקרא\נביאים\עמוס.txt,,1,2,,0,0,,1,עמוס,776,"(1395, 1468, 1505)",,,0,,b17,,,,1
