ID Book,Title,Author,Printing Place,Printing Year,Pub. Place,Pub. Date,Pages,OCLC ID,ULI Entry,Source,Go to External Site,Catalog Information,Content,MARC record,Tags
1000,"קובץ תשובות הרמב""ם ואגרותיו",משה בן מימון,ליפציג,תריט,Lifesia,1859,283,,,,,Responsa -- 12th century,,,
1001,ברכת אברהם,"אברהם בן משה (מימון), 1186-1237",ליק,תרך,Lek,1860,81,,,,,"גולדברג, דב בר",,,"ראשונים;רבינו אברהם בן הרמב""ם;שו""ת"
1002,כד הקמח,"איבשיץ, דוד שלמה",פרמישלה,תרנט,Przemysl,1899,88,,,,,"איבשיץ, דוד שלמה -- מי מנוחות",,,"שו""ת"
1003,מחולת המחנים,"שלזינגר, ישראל דוד",ברטיסלבה,תריט,Pressburg,1859,240,,,,,296.33 -- Qeri'at ha-tora.,,,"נגד ריפורם;פולמוס;שו""ת"
1004,מאורות נתן,"שפיגלגלאס, נתן, 1798-1873",בילגורי,תרע,Bilgoraj,1910,255,,,,,"296.572(438)(090.34) -- Sheelot utshuvot, responsa - Aharonim - Poland - 19th (nineteenth) century",,,"גאונים;שו""ת"
1005,מים זכים,"וינקופ, יצחק יוסף בנציון",אמשטרדם,תרמד,Amsterdam,1884,14,,,,,"296.572(492) -- Sheelot utshuvot, responsa - Aharonim - Holland, Netherlands",,,"הלכה;מקוואות;שו""ת"
1006,"מילי דאגדתא ושו""ת","יעקב בן יעקב משה, מליסה, 1770-1832",מונקץ,תרסד,Munkatch,1904,64,,,,,"296.572(477.1)(090.34) -- Sheelot utshuvot, responsa - Aharonim - Ukraine (including Galicia) - 19th (nineteenth) century",,,"גאונים;שו""ת"
1007,כרוזים אודות הגט מקלווה,קהילה פראנקפורט דמיין,פרנקפורט דמין,תרצא,Frankfurt am Main,1931,7,,,,,,,,"גיטין;הלכה;מקךיווא;פולמוס;שו""ת"
1008,מטה לוי,"הורביץ, מרדכי בן יוסף חיים, הלוי",פרנקפורט דמין,תרנא,Frankfurt am Main,1891,227,,,,,משפט עברי -- גרושין,,,"סדר חליצה;קוננטרס השמות;שו""ת;שמות גיטין"
1009,אהל משה,"לובצקי, משה אהרן יצחק",ירושלים,תרעב,Jerusalem,1912,24,,,,,"שאלות ותשובות -- חכמי המערבתק""ס-תרע""ג.",,,"שו""ת"
