ID Book,Title,Author,Printing Place,Printing Year,Pub. Place,Pub. Date,Pages,OCLC ID,ULI Entry,Source,Go to External Site,Catalog Information,Content,MARC record,Tags
7103,בני יוסף,"טנוג’י, יוסף בן שלום",ליוורנו,תקנג,Levorno,1793,133,,,,,"לומברוזו, יצחק בן יעקב.","על ש""ס",,"גאונים;דרשות;רמב""ם"
7104,חדות יעקב,"זמישט, יעקב",רעדלהיים,תקיא,Roedelheim,1751,195,,,,,"296.584 -- Talmud Bavli - Hiddushim; Pilpulim - Aharonim, 1600 -.","על ש""ס גפ""ת",,גאונים
7105,מאמר מרדכי,"קריספין, מרדכי",שאלוניקי,תקפו,Thessaloniki,1826,435,,,,,תלמוד בבלי. -- מסכת גטיןבאורים,על מס' גיטין,,גיטין;מסכת
7106,מחנה לויה,"מאיר בן ברוך, מרוטנבורג, -1293",ליוורנו,תקעט,Levorno,1819,223,,,,,"יהודה בן נתן, -- הלוי","על הל' שמחות למהר""ם בר ברוך מרוטנבורג ז""ל",,"אבילות;גאונים;הלכה;מהר""ם מרוטנבורג;ראשונים"
7107,"מבית מאיר - ג""ח","סטאלעוויץ, מאיר בן אברהם",ווארשא -ירושלים,תרסט - תרעג תרצז,Warsaw,1909,513,,,,,296.867 -- Talmud Bavli - Sugyot.,"על סוגיות הש""ס, שו""ת, והדרנים",,סוגיות
7108,מקנה אברהם,אברהם שיראנו,שאלוניקי,תריח,Thessaloniki,1858,313,,,,,"492.45(09)(P) -- Hebrew language, incl. Biblical Hebrew - Grammar - Works originally written before 1900","כללים וסוגיות בסדר א""ב",,"כללי הש""ס"
7109,משפטי שמואל - חלקים א - ב,"רבינוביץ, שמואל יעקב בן יששכר בר",ווילנא,תרעד,Vilnius,1914,265,,,,,296.867 -- Talmud Bavli - Sugyot.,"על סוגיות הש""ס",,זה נהנה וזה לא חסר;יאוש;מילי לא מימסרן לשלוח;מתנות כהונה;סוגיות;שליחות;תוכחה
7110,מערכת האלהות,"גרונדי, פרץ בן יצחק (מיוחס לו)",מנטובה,שיח,Mantua,1558,425,,,,,,עניני קבלה,,חייט;קבלה;ראשונים;רבינו פרץ
7111,נחמד למראה - חלק א,"אשכנזי, נסים אברהם בן רפאל, -1860",שאלוניקי,תקצב - תרו,Thessaloniki,1832,429,,,,,296.853 -- Talmud Yerushalmi - Commentaries.,על הירושלמי,,ירושלמי
7112,נחמד למראה - חלק ב,"אשכנזי, נסים אברהם בן רפאל, -1860",שאלוניקי,תקצב - תרו,Thessaloniki,1832,501,,,,,296.853 -- Talmud Yerushalmi - Commentaries.,על הירושלמי,,גאונים;תלמוד ירושלמי
7113,נחמד למראה - חלק ג,"אשכנזי, נסים אברהם בן רפאל, -1860",שאלוניקי,תקצב - תרו,Thessaloniki,1832,411,,,,,296.853 -- Talmud Yerushalmi - Commentaries.,על הירושלמי,,נשים;תלמוד ירושלמי
7114,נחמד למראה - חלק ד,"אשכנזי, נסים אברהם בן רפאל, -1860",שאלוניקי,תקצב - תרו,Thessaloniki,1832,393,,,,,296.853 -- Talmud Yerushalmi - Commentaries.,על הירושלמי,,נזיקין;תלמוד ירושלמי
7115,מעשה חייא,"רופא, חיא",פיורדא,תפז,Fuerth,1727,225,,,,,296.583 -- Talmud Bavli - Hiddushim; Pilpulim - From Shitta Mequbbezet to 1600.,"על ש""ס",,"על הש""ס;שו""ת"
7116,"מחזור קמחא דאבישונא ב""ח",יוחנן טריויש,בולונייא,ש - שא,Bologna,1541,778,,,,,,מחזור לכל השנה עם פירוש,,גאונים;מחזור
7117,"מטה אהרן [ב""ח]","אהרן, הלוי, מירושלים",שאלוניקי,תקעט - תקפ,Thessaloniki,1810,650,,,,,296.867 -- Talmud Bavli - Sugyot.,"כללים וסוגיות בסדר א""ב",,כללים;סוגיות
7118,"מדרש כתובה [ב""ח]","מרגליות, אלכסנדר יהודה בן נפתלי הירץ",ווארשא,תקפג,Warsaw,1823,449,,,,,296.584(KETUBBOT) -- Talmud Bavli - Hiddushim; Pilpulim - Ketubbot.,על מס' כתובות,,כתובות;מסכת
7119,מחנה ישראל,"נימן, ישראל בן יוסף",קראקא,תרמד,Krakow,1884,367,,,,,תלמוד בבלי -- חדושים ובאורים,"על מס' גיטין, שבועות, ועבודה זרה",,גיטין;מסכת;עבודה זרה;שבועות
7120,"מרגליות התורה [ב""ח]",צבי הירש בן שמואל זנויל,פאריצק מינקאוויץ,תקמח -  תקסג - ה,Fritzk,1788,605,,,,,296.655 -- Qabbalistic works after 1675.,"על התורה ונ""ך בדרך קבלה",,"עה""ת;קבלה;תלמוד הגר""א"
7121,מנחת יהודא - תמורה,"שפריאר, אברהם יהודה",דעבערצין,תרעה,Debreziner,1915,447,,,,,,"על מס' תמורה (פרק א'), מכות (פרק א'), שבועות (פרק ג'), זבחים, קידושין, ועירובין.",,מסכת;תמורה
7122,משנת חסידים,"ריקי, רפאל עמנואל חי בן אברהם, 1687-1743",קראקא,תרמט,Krakow,1889,585,,,,,"פינחס אליהו בן מאיר, -- 1765-1821","עניני קבלה עם כוונת התפלה עפ""י כתבי האריז""ל",,"אריז""ל;קבלה"
7123,נובלות חכמה,"דלמדיגו, יוסף שלמה בן אליהו, מקנדיה, 1591-1655",בסיליאה,שצא,Basiliah,1631,439,,,,,"אשכנזי, שמואל בן יהודה ליב -- מלקט",חקירות באמונה,,קבלה
7124,מסלול בדקדוק לשון הקודש,"קסלין, חיים בן נפתלי הירץ, 1749-1832",ווילנא,תרנב,Vilnius,1892,207,,,,,"ריכרסון, משה",על דקדוק לשון הקודש,,דקדוק;לשון הקודש
7125,"משיב נפש [ב""ח]","נימן, שמעון בצלאל, 1860-1942",מונקאטש קראקא,תרסו - תרפג,Mumkatch,1906,543,,,,,,על מס' פסחים,,מסכת;פסחים
7126,ע' שמות דמטטרון,"גרף, משה בן מנחם, 1650-1705",,תלח,,1678,25,,,,,"גרף, משה בן מנחם, -- 1650-1705",עניני קבלה,,קבלה
7127,אילן הגדול,"פופרש, מאיר בן יהודה ליב",,תרנב,,1892,17,,,,,קבלה -- <<05=>> 1500-1660,עניני קבלה,,קבלה
7128,מאורת נתן,"פופרש, מאיר בן יהודה ליב",ווארשא,תרכז,Warsaw,1867,177,,,,,יעקב בן בנימין אהרן,עניני קבלה,,קבלה;קונקורדנציה
7129,אהבת ציון,"קלין, יוסף בן שמואל עקיבא",ווראנוב,תרצד,Vranov Nad Toplou,1934,147,,,,,,על מס' ביצה ומכות,,ביצה;מכות;מסכת
7130,משיב נפש,"נימן, שמעון בצלאל, 1860-1942",פיעטרקוב,תרפט,Peitrikow,1929,225,,,,,"296.584 -- Talmud Bavli - Hiddushim; Pilpulim - Aharonim, 1600 -.",על מס' ביצה ומכות,,ביצה;מסכת
7131,מרבה תורה,"פוסק, אליהו בן משה צבי, 1859-1932",פיעטרקוב,תרסב,Peitrikow,1902,139,,,,,"קרו, יוסף בן אפרים, -- 1488-1575שלחן ערוך","על יו""ד הל' רבית",,גאונים;הלכה;יורה דעה;רבית
7132,מאיר השחר,"סגל, מאיר בן אליעזר ליברמן","פפד""א",תקט,Padua,1749,49,,,,,296.37 -- Jewish prayer - Halakha.,"על הל' ברכת התורה, והל' קריאת שמע וברכותיה",,אורח חיים;ברכת התורה;גאונים;הלכה;קריאת שמע
7133,מורה צדק,"יעקב בן יהודה, משקלוב",שקלאוו,תקמג,Shklov,1783,101,,,,,"קרו, יוסף בן אפרים, -- 1488-1575.שלחן ערוך. תקמ""ג",על הל' בציעת הפת,,אורח חיים;גאונים;הלכה
7134,נהורא דשרגא,"לונדן, אליעזר שרגא פבי",ווילנא,תרנט,Vilnius,1899,131,,,,,296.584(BAVA QAMMA) -- Talmud Bavli - Hiddushim; Pilpulim - Bava Qamma.,על מס' בבא קמא,,בבא קמא;מסכת
7135,הדרת קודש,"היבנר, יחיאל מיכל",מונקאטש,תרס,Munkatch,1900,101,,,,,"296.453 -- Funeral sermons, Hespedim - Hebrew.","הספד על הרה""ק ר' יחזקאל שרגא האלברשטאם ז""ל אב""ד שינאווא",,גאונים
7136,נפש חיה,"לנדא, ישראל בן יהודה",ברדיטשוב,תרע,Berditchov,1910,271,,,,,296.584(MEGILLA) -- Talmud Bavli - Hiddushim; Pilpulim - Megilla.,"על מס' מגילה גפ""ת (דף על דף). בראשו קונטרס ""דברי אגדה""",,מגילה;מסכת;סוגיות;ספקות
7137,בית ישראל,ישראל בער שפירא,ברלין,תפו,Berlin,1726,65,,,,,,על מס' מגילה,,טור;יורה דעה;מגילה;מסכת
7138,נתיבות זוהר,"רבינוביץ, משה אברהם שמואל",קיידאן,תרחצ,Kaidan,1938,251,,,,,"296.584 -- Talmud Bavli - Hiddushim; Pilpulim - Aharonim, 1600 -.",על עניני קדשים,,הזמה;ולדות קדשים;זביחה;סוגיות;רוב;תורת הבטול
7139,עמק ברכה,דוד פריעדמאנן,ירושלים,תרמא,Jerusalem,1881,43,,,,,"פינס, יחיאל מיכל, -- 1913-1843","על עניני חרם, יסודו ומשפטו ותנאי שימושו",,חרם
7140,מקיץ נרדמים,מנחם מענדל חיים לנדא,פיעטרקוב,תרסד,Peitrikow,1904,141,,,,,"גוטמן, יעקב בן אליעזר, -- הלוי","פראטאקאל מאסיפת הרבנים שהתקיימה בקראקא בחודש אב שנת תרס""ג,",,אסיפת הרבנים;תולדות
7141,חושב מחשבות,"ריקי, רפאל עמנואל חי בן אברהם, 1687-1743",מונקאטש,תרנו,Munkatch,1896,131,,,,,296.655 -- Qabbalistic works after 1675.,,,קבלה
7142,יושר לבב,"ריקי, רפאל עמנואל חי בן אברהם, 1687-1743",קראקא,תרנ,Cracow,1890,113,,,,,296.655 -- Qabbalistic works after 1675.,"עניני קבלה בסוד הצמצום, בריאת הפרצופים, שורש הנשמות, דרך ההשגחה ועוד",,קבלה
7143,"משנת חסידים ע""פ מגיד משנה","ריקי, רפאל עמנואל חי בן אברהם, 1687-1743",ירושלים,תרלח,Jerusalem,1878,205,,,,,"משה בן גרשון, -- מזלשין,1789-1831","כולל חלק ג' והיא ""מפתח הכוונות"" - סדר מועד, וגם פי' ""מגיד משנה"" על ""מפתח העולמות""",,קבלה
7144,מאה שערים,"הורביץ, יצחק בן משלם יששכר, הלוי",לעמבערג,תרמז,Lemberg,1887,161,,,,,חדושים ופלפולים,"פלפולים על סוגיות הש""ס",,סוגיות
7145,מסילות המאורות,"רוקנשטין, דב בר",לעמבערג,תרנח,Lemberg,1898,167,,,,,,על עניני תכונה,,אסטרונומיה;קידוש החודש;תכונה
7146,מודעא לבית ישראל,"קלוגר, שלמה בן יהודה אהרן, 1783-1869",ברעסלויא,תריט,Wrocław,1859,87,,,,,"296.562.4 -- Pesah, Passover - Halakha.",כולל תשובות מגאוני הדור (י' סימנים) לאסור מצות הנעשים על ידי מכונה,,מצוות מכינה;פולמוס
7147,חידושי גלאנטי,"גלנטי, ידידיה בן משה",סדילקוב,תקצו,Sudilkov,1836,125,,,,,,"על ש""ס",,גאונים
7148,מענה אליהו,"אליהו בן משה גרשון, מפינצ’וב",זאלקווא,תקיח,Zholkva,1758,71,,,,,"296.584 -- Talmud Bavli - Hiddushim; Pilpulim - Aharonim, 1600 -.","על מס' בבא מציעא וביצה, וקצת שו""ת",,בבא מציעא;ביצה;מסכת
