מספר הספר,שם הקובץ,שם הספר,קטגוריות,לינק לספר,noc
,שניים מקרא ואחד תרגום,לימוד יומי אוטומטי,,"http://mobile.tora.ws/index.html?bgf=lnn(,0,0)",
,דף יומי,לימוד יומי אוטומטי,,"http://mobile.tora.ws/index.html?bgf=lnn(,0,0)",
,חוק לישראל,לימוד יומי אוטומטי,,"http://mobile.tora.ws/index.html?bgf=lnn(,0,0)",
,חיד'א יומי,לימוד יומי אוטומטי,,"http://mobile.tora.ws/index.html?bgf=lnn(,0,0)",
,תהלים שבועי,לימוד יומי אוטומטי,,"http://mobile.tora.ws/index.html?bgf=lnn(,0,0)",
,תהלים חודשי,לימוד יומי אוטומטי,,"http://mobile.tora.ws/index.html?bgf=lnn(,0,0)",
2220201,תפילת שחרית לימות החול,סידור נוסח ספרד (מנהג האשכנזים),סידור,"http://mobile.tora.ws/index.html?bgf=lnn(2220201,0,0)",1
2220202,תפילת מנחה לימי החול,סידור נוסח ספרד (מנהג האשכנזים),סידור,"http://mobile.tora.ws/index.html?bgf=lnn(2220202,0,0)",1
2220203,תפילת ערבית לימי החול,סידור נוסח ספרד (מנהג האשכנזים),סידור,"http://mobile.tora.ws/index.html?bgf=lnn(2220203,0,0)",1
2220204,קריאת שמע שעל המיטה,סידור נוסח ספרד (מנהג האשכנזים),סידור,"http://mobile.tora.ws/index.html?bgf=lnn(2220204,0,0)",1
2220206,"ברכות (ברהמ''ז, מעין שלוש והנהנין)",סידור נוסח ספרד (מנהג האשכנזים),סידור,"http://mobile.tora.ws/index.html?bgf=lnn(2220206,0,0)",1
2220207,"ברכות (המצוות, הראיה, תפילת הדרך)",סידור נוסח ספרד (מנהג האשכנזים),סידור,"http://mobile.tora.ws/index.html?bgf=lnn(2220207,0,0)",1
2220205,ברכות לשמחות,סידור נוסח ספרד (מנהג האשכנזים),סידור,"http://mobile.tora.ws/index.html?bgf=lnn(2220205,0,0)",1
2220208,סדר ערוב תבשילין/חצרות/תחומין,שבת (ללימוד והדפסה בימי חול בלבד),"סידור , סידור נוסח ספרד (מנהג האשכנזים)","http://mobile.tora.ws/index.html?bgf=lnn(2220208,0,0)",1
2220209,סדר הדלקת נרות שבת,שבת (ללימוד והדפסה בימי חול בלבד),"סידור , סידור נוסח ספרד (מנהג האשכנזים)","http://mobile.tora.ws/index.html?bgf=lnn(2220209,0,0)",1
2220210,שיר השירים,שבת (ללימוד והדפסה בימי חול בלבד),"סידור , סידור נוסח ספרד (מנהג האשכנזים)","http://mobile.tora.ws/index.html?bgf=lnn(2220210,0,0)",1
2220211,תפילת ערבית של שבת,שבת (ללימוד והדפסה בימי חול בלבד),"סידור , סידור נוסח ספרד (מנהג האשכנזים)","http://mobile.tora.ws/index.html?bgf=lnn(2220211,0,0)",1
2220212,סדר ליל שבת,שבת (ללימוד והדפסה בימי חול בלבד),"סידור , סידור נוסח ספרד (מנהג האשכנזים)","http://mobile.tora.ws/index.html?bgf=lnn(2220212,0,0)",1
2220213,שחרית של שבת,שבת (ללימוד והדפסה בימי חול בלבד),"סידור , סידור נוסח ספרד (מנהג האשכנזים)","http://mobile.tora.ws/index.html?bgf=lnn(2220213,0,0)",1
2220214,סדר סעודת שבת,שבת (ללימוד והדפסה בימי חול בלבד),"סידור , סידור נוסח ספרד (מנהג האשכנזים)","http://mobile.tora.ws/index.html?bgf=lnn(2220214,0,0)",1
2220215,מנחה לשבת קודש,שבת (ללימוד והדפסה בימי חול בלבד),"סידור , סידור נוסח ספרד (מנהג האשכנזים)","http://mobile.tora.ws/index.html?bgf=lnn(2220215,0,0)",1
2220216,זמירות לסעודה שלישית,שבת (ללימוד והדפסה בימי חול בלבד),"סידור , סידור נוסח ספרד (מנהג האשכנזים)","http://mobile.tora.ws/index.html?bgf=lnn(2220216,0,0)",1
2220217,סדר מוצאי שבת,שבת (ללימוד והדפסה בימי חול בלבד),"סידור , סידור נוסח ספרד (מנהג האשכנזים)","http://mobile.tora.ws/index.html?bgf=lnn(2220217,0,0)",1
2220218,סדר נטילת לולב,מועדים וראש חודש,"סידור , סידור נוסח ספרד (מנהג האשכנזים)","http://mobile.tora.ws/index.html?bgf=lnn(2220218,0,0)",1
2220219,סדר הלל,מועדים וראש חודש,"סידור , סידור נוסח ספרד (מנהג האשכנזים)","http://mobile.tora.ws/index.html?bgf=lnn(2220219,0,0)",1
2220220,סדר שלש רגלים,מועדים וראש חודש,"סידור , סידור נוסח ספרד (מנהג האשכנזים)","http://mobile.tora.ws/index.html?bgf=lnn(2220220,0,0)",1
2220221,סדר הושענות,מועדים וראש חודש,"סידור , סידור נוסח ספרד (מנהג האשכנזים)","http://mobile.tora.ws/index.html?bgf=lnn(2220221,0,0)",1
2220222,פיוט אקדמות לשבועות,מועדים וראש חודש,"סידור , סידור נוסח ספרד (מנהג האשכנזים)","http://mobile.tora.ws/index.html?bgf=lnn(2220222,0,0)",1
2220223,יוצרות,מועדים וראש חודש,"סידור , סידור נוסח ספרד (מנהג האשכנזים)","http://mobile.tora.ws/index.html?bgf=lnn(2220223,0,0)",1
2220224,חנוכה,מועדים וראש חודש,"סידור , סידור נוסח ספרד (מנהג האשכנזים)","http://mobile.tora.ws/index.html?bgf=lnn(2220224,0,0)",1
2220225,פורים,מועדים וראש חודש,"סידור , סידור נוסח ספרד (מנהג האשכנזים)","http://mobile.tora.ws/index.html?bgf=lnn(2220225,0,0)",1
2220235,ערבית,יום העצמאות,"סידור , סידור נוסח ספרד (מנהג האשכנזים) , מועדים וראש חודש","http://mobile.tora.ws/index.html?bgf=lnn(2220235,0,0)",1
2220236,שחרית,יום העצמאות,"סידור , סידור נוסח ספרד (מנהג האשכנזים) , מועדים וראש חודש","http://mobile.tora.ws/index.html?bgf=lnn(2220236,0,0)",1
2220226,תעניות ואבלות,מועדים וראש חודש,"סידור , סידור נוסח ספרד (מנהג האשכנזים)","http://mobile.tora.ws/index.html?bgf=lnn(2220226,0,0)",1
2220233,סדר ברכת כהנים,מועדים וראש חודש,"סידור , סידור נוסח ספרד (מנהג האשכנזים)","http://mobile.tora.ws/index.html?bgf=lnn(2220233,0,0)",1
2220237,התרת נדרים,מועדים וראש חודש,"סידור , סידור נוסח ספרד (מנהג האשכנזים)","http://mobile.tora.ws/index.html?bgf=lnn(2220237,0,0)",
2220227,בראשית,סדר קריאה בתורה,"סידור , סידור נוסח ספרד (מנהג האשכנזים)","http://mobile.tora.ws/index.html?bgf=lnn(2220227,0,0)",1
2220228,שמות,סדר קריאה בתורה,"סידור , סידור נוסח ספרד (מנהג האשכנזים)","http://mobile.tora.ws/index.html?bgf=lnn(2220228,0,0)",1
2220229,ויקרא,סדר קריאה בתורה,"סידור , סידור נוסח ספרד (מנהג האשכנזים)","http://mobile.tora.ws/index.html?bgf=lnn(2220229,0,0)",1
