קיים כבר בספריא,שם הספר,שם הקובץ,קטגורייה,auto,noc
FALSE,שניים מקרא ואחד תרגום,,לימוד יומי אוטומטי,8,
FALSE,דף יומי,,לימוד יומי אוטומטי,2,
FALSE,חוק לישראל,,לימוד יומי אוטומטי,4,
FALSE,חיד'א יומי,,לימוד יומי אוטומטי,5,
FALSE,תהלים שבועי,,לימוד יומי אוטומטי,6,
FALSE,תהלים חודשי,,לימוד יומי אוטומטי,7,
FALSE,סידור נוסח ספרד (מנהג האשכנזים),,סידור,,
FALSE,סידור נוסח הספרדים ובני עדות המזרח,,סידור,,
FALSE,סידור נוסח אשכנז,,סידור,,
FALSE,סידור נוסח תימן,,סידור,,
FALSE,סליחות,,סידור,,
FALSE,קדיש,2260002,סידור,,1
FALSE,לקט תפילות,224001,סידור,,1
FALSE,סדר מעמדות,224007,סידור,,1
FALSE,פרקי שירה,222555,סידור,,1
FALSE,הגדה של פסח,2260001,סידור,,1
FALSE,תפילת שחרית לימות החול,2220201,סידור נוסח ספרד (מנהג האשכנזים),,1
FALSE,תפילת מנחה לימי החול,2220202,סידור נוסח ספרד (מנהג האשכנזים),,1
FALSE,תפילת ערבית לימי החול,2220203,סידור נוסח ספרד (מנהג האשכנזים),,1
FALSE,קריאת שמע שעל המיטה,2220204,סידור נוסח ספרד (מנהג האשכנזים),,1
FALSE,"ברכות (ברהמ''ז, מעין שלוש והנהנין)",2220206,סידור נוסח ספרד (מנהג האשכנזים),,1
FALSE,"ברכות (המצוות, הראיה, תפילת הדרך)",2220207,סידור נוסח ספרד (מנהג האשכנזים),,1
FALSE,ברכות לשמחות,2220205,סידור נוסח ספרד (מנהג האשכנזים),,1
FALSE,שבת (ללימוד והדפסה בימי חול בלבד),,סידור נוסח ספרד (מנהג האשכנזים),,
FALSE,מועדים וראש חודש,,סידור נוסח ספרד (מנהג האשכנזים),,
FALSE,סדר קריאה בתורה,,סידור נוסח ספרד (מנהג האשכנזים),,
FALSE,תפילות וסגולות שונות,2220234,סידור נוסח ספרד (מנהג האשכנזים),,1
FALSE,סדר ערוב תבשילין/חצרות/תחומין,2220208,שבת (ללימוד והדפסה בימי חול בלבד),,1
FALSE,סדר הדלקת נרות שבת,2220209,שבת (ללימוד והדפסה בימי חול בלבד),,1
FALSE,שיר השירים,2220210,שבת (ללימוד והדפסה בימי חול בלבד),,1
FALSE,תפילת ערבית של שבת,2220211,שבת (ללימוד והדפסה בימי חול בלבד),,1
FALSE,סדר ליל שבת,2220212,שבת (ללימוד והדפסה בימי חול בלבד),,1
FALSE,שחרית של שבת,2220213,שבת (ללימוד והדפסה בימי חול בלבד),,1
FALSE,סדר סעודת שבת,2220214,שבת (ללימוד והדפסה בימי חול בלבד),,1
FALSE,מנחה לשבת קודש,2220215,שבת (ללימוד והדפסה בימי חול בלבד),,1
FALSE,זמירות לסעודה שלישית,2220216,שבת (ללימוד והדפסה בימי חול בלבד),,1
FALSE,סדר מוצאי שבת,2220217,שבת (ללימוד והדפסה בימי חול בלבד),,1
FALSE,סדר נטילת לולב,2220218,מועדים וראש חודש,,1
