שם ספר,TextSource,נתיב,RavMechaber,ForcedBookName,MixedDisplay,,PasukIndMode,UniqueId,,HiddenFromIndex,[Books\000_ACCESORIES\000_!WELLCOME.txt_תורת אמת],SearchInTitles,GroupId,שם הספר,LastLevelIndex,,SpecialTitle,FilesGotFrom,Comments,PutNewLinesAsIs,ChainFolderName,Haskamot,,CosmeticsType
,,.txt,,הקדמה,0,,0,1,,0,,1,,,0,,,,עגכדעדע כעגכ עגכעגכעגכעכש דגכג כגכגד כדגכככ,1,1,,,#wp
,,Books\000_ACCESORIES\0011_!help.htm_0011_!help.htm.txt,,הוראות הפעלה,0,,0,2,,0,,1,,[Books\000_ACCESORIES\0011_!help.htm_0011_!help.htm],0,,,,,1,1,,,0
הלימוד היומי,,Books\000_ACCESORIES\0012_daily.txt,,,0,,0,3,,0,,1,,,0,,,,,1,1,,,#sem
מידע יומי,,Books\000_ACCESORIES\0013_daily_info.txt,,,0,,0,4,,0,,1,,,0,,,,,1,1,,,#sem
תוכן עניינים מותאם אישית,,Books\000_ACCESORIES\0014_contents.txt,,,0,,0,5,,0,,1,,,0,,,,,1,1,,,#sem
מעקב לימוד,,Books\000_ACCESORIES\0015_stat.txt,,,0,,0,6,,0,,1,,,0,,,,כ,1,1,,,#sem
מארי דחושבנא,,Books\000_ACCESORIES\0016_mare.txt,,,0,,0,7,,,,1,,,0,,,,כ,1,1,,,#sem
טור - אורח חיים,ויקיטקסט,Books\000_HORADOT\100_TUR\010_tur_orach_chaim_merged.txt,"גדולי ישראל זיע""א",,2,,0,5001,,,,1,tur1,,1,,,,,1,1,,,#bp
טור - יורה דעה,ויקיטקסט,Books\000_HORADOT\100_TUR\011_tur_yore_deaa_merged.txt,"גדולי ישראל זיע""א",,2,,0,5002,,,,1,tur2,,1,,,,,1,1,,,
טור - אבן העזר,ויקיטקסט,Books\000_HORADOT\100_TUR\012_tur_even_haezer_merged.txt,"גדולי ישראל זיע""א",,2,,0,5003,,,,1,tur3,,1,,,,,1,1,,,
טור - חשן משפט,ויקיטקסט,Books\000_HORADOT\100_TUR\013_tur_choshen_mishpat_merged.txt,"גדולי ישראל זיע""א",,2,,0,5004,,,,1,tur4,,1,,,,,1,1,,,
טור - אורח חיים - טור,ויקיטקסט,Books\000_HORADOT\100_TUR\100_tur_orach_chaiim_tur.txt,,,0,,0,3000,,0,,1,,,1,,,,,1,1,,,
טור - אורח חיים - בית יוסף,ויקיטקסט,Books\000_HORADOT\100_TUR\101_tur_orach_chaiim_beit_yosef.txt,,,0,,0,3001,,0,,1,,,1,,,,,1,1,,,
טור - אורח חיים - בית חדש,ויקיטקסט,Books\000_HORADOT\100_TUR\102_tur_orach_chaiim_bach.txt,,,0,,0,3002,,0,,1,,,1,,,,,1,1,,,
