title,PubDate,pubPlace,compPlace,compDate,heShortDesc,order,heDesc
"חיי מוהר""ן", (1874 לספירה),למברג,, (1810 – 1830 לספירה בקירוב),,,"תורות וקורות חייו של ר' נחמן מברסלב, נכתב ע""י תלמידו ר' נתן."
ליקוטי עצות, (1816 לספירה),דובנו,, (1790 – 1810 לספירה בקירוב),,,
ליקוטי הלכות, (1843 – 1861 לספירה),,, (1814 – 1844 לספירה בקירוב),,,
"ליקוטי מוהר""ן", (1808 לספירה),אוסטראה,ברסלב, (1802 – 1808 לספירה בקירוב),,,
ליקוטי תפילות, (1821 לספירה),ורוצלב,ורוצלב, (1810 – 1820 לספירה בקירוב),,,"״ליקוטי תפילות״ הוא אוסף 210 תפילות שחיבר רבי נתן מנמירוב, תלמידו המובהק של רבי נחמן מברסלב במאה ה-19 באוקראינה. חיבור זה מתבסס על עיקרון המובא במשנתו של רבי נחמן (ליקוטי מוהר״ן, חלק שני, תורה כ״ה) כי על כל אדם להשלים את עבודת השם בצורה ייחודית על ידי תפילות אישיות ובהן הבקשה להצליח ליישם את מה שלמד. ״ליקוטי תפילות״ הן תפילותיו האישיות של רבי נתן שיותר מאוחר החליט להוציאן לאור לתועלת ממשיכי דרכו. נושאי התפילות מרובים וכוללים, בין השאר: בקשה לסליחה ומחילה מאת האל, עזרה בלימוד תורה, תפילות מיוחדות לחגים ועוד."
ספר המדות, (1821 לספירה),מוהילב,, (1810 לספירה),,,"ספר המדות נכתב על ידי רבי נחמן מברסלב, שמסרו לתלמידו ר' נתן להדפיסו. החלק הראשון נכתב בשנות צעירותו, והוא ליקוט של מידות טובות והנהגות ישרות, מלוקטים מדברי חז""ל בגמרא ובמדרשים ובזוהר, ומדברי חכמי ישראל בספריהם. החלק השני נכתב בתקופה מאוחרת, ויש בו רעיונות וחידושים יותר מקוריים ועמוקים. ספר זה מחולק לפי מפתח ערכים על פי סדר האלף-בית. הכתב יד המקורי הכיל יותר חומר, אבל ר' נחמן מסר רק חלק להדפסה."
"שבחי הר""ן", (1815 לספירה),ורשה,, (1803 – 1817 לספירה בקירוב),,,"תולדות ר' נחמן מברסלב, נכתב על ידי תלמידו ר' נתן."
"שיחות הר""ן", (1864 לספירה),,, (1803 – 1817 לספירה בקירוב),,,
סיפורי מעשיות, (1816 לספירה),אוסטראה,, (1803 – 1817 לספירה בקירוב),,,"מעשיות בדרך משל שסיפר ר' נחמן מברסלב לתלמידו ר' נתן, שרשם אותם והוציאם לאור."
דרך מצותיך, (1910 לספירה),פולטבה,, (1813 – 1827 לספירה בקירוב),,,
לקוטי תורה, (1848 לספירה),ז'יטומיר / ורשה,, (1796 – 1812 לספירה בקירוב),,,"״ליקוטי תורה"" הוא אחד מספרי היסוד של חסידות חב״ד שנכתב במאה ה-18 על ידי מייסד חסידות חב״ד, רבי שניאור זלמן מלאדי (מכונה גם: ״האדמו״ר הזקן״, ״בעל התניא״). ספר זה מכיל בתוכו מאות מאמרים בסגנון חסידי על: ספרי ויקרא, במדבר ודברים. בנוסף, הספר גם דן בחג השבועות, חודש אלול, חגי תשרי ועשרת ימי תשובה - מנקודת מבט חסידית.  למעשה, ""ליקוטי תורה"" הוא  החלק השני של החיבור, כאשר החלק הראשון שעוסק בספר בראשית ושמות, מגילת אסתר ודרשה קצרה לחג הפסח - נקרא ״תורה אור״. הספר יצא לאור במאה ה-19 על ידי נכדו של רבי שניאור זלמן - הרב מנחם מנדל שניאורסון (״הצמח צדק״) שהיה מנהיגה השלישי של חסידות חב״ד."
מראי מקומות הערות וציונים על לקוטי תורה,,,,,,,
מראי מקומות הערות וציונים על תורה אור,,,,,,,
תניא, (1796 לספירה),סלאוויטא,ליוזנה, (1786 – 1796 לספירה בקירוב),,,"ספר היסוד של חסידות חב""ד שכתב מייסדה רבי שניאור זלמן מלאדי."
