"","text","page","language","url","title"
"1","כף החיים (פאלאג'י) · פתיחת הספר · >>",1,"he.m","https://he.m.wikisource.org/wiki/%D7%9B%D7%A3_%D7%94%D7%97%D7%99%D7%99%D7%9D_(%D7%A4%D7%90%D7%9C%D7%90%D7%92%27%D7%99)/%D7%A4%D7%AA%D7%99%D7%97%D7%AA_%D7%94%D7%A1%D7%A4%D7%A8","כף החיים (פאלאג'י)"
"2","",1,"he.m","https://he.m.wikisource.org/wiki/%D7%9B%D7%A3_%D7%94%D7%97%D7%99%D7%99%D7%9D_(%D7%A4%D7%90%D7%9C%D7%90%D7%92%27%D7%99)/%D7%A4%D7%AA%D7%99%D7%97%D7%AA_%D7%94%D7%A1%D7%A4%D7%A8","כף החיים (פאלאג'י)"
"3","כף החיים (פאלאג'י) ·  פתיחת הספר · >>",1,"he.m","https://he.m.wikisource.org/wiki/%D7%9B%D7%A3_%D7%94%D7%97%D7%99%D7%99%D7%9D_(%D7%A4%D7%90%D7%9C%D7%90%D7%92%27%D7%99)/%D7%A4%D7%AA%D7%99%D7%97%D7%AA_%D7%94%D7%A1%D7%A4%D7%A8","כף החיים (פאלאג'י)"
"4","",1,"he.m","https://he.m.wikisource.org/wiki/%D7%9B%D7%A3_%D7%94%D7%97%D7%99%D7%99%D7%9D_(%D7%A4%D7%90%D7%9C%D7%90%D7%92%27%D7%99)/%D7%A4%D7%AA%D7%99%D7%97%D7%AA_%D7%94%D7%A1%D7%A4%D7%A8","כף החיים (פאלאג'י)"
"5","",1,"he.m","https://he.m.wikisource.org/wiki/%D7%9B%D7%A3_%D7%94%D7%97%D7%99%D7%99%D7%9D_(%D7%A4%D7%90%D7%9C%D7%90%D7%92%27%D7%99)/%D7%A4%D7%AA%D7%99%D7%97%D7%AA_%D7%94%D7%A1%D7%A4%D7%A8","כף החיים (פאלאג'י)"
"6","פתיחת הספר",1,"he.m","https://he.m.wikisource.org/wiki/%D7%9B%D7%A3_%D7%94%D7%97%D7%99%D7%99%D7%9D_(%D7%A4%D7%90%D7%9C%D7%90%D7%92%27%D7%99)/%D7%A4%D7%AA%D7%99%D7%97%D7%AA_%D7%94%D7%A1%D7%A4%D7%A8","כף החיים (פאלאג'י)"
"7","",1,"he.m","https://he.m.wikisource.org/wiki/%D7%9B%D7%A3_%D7%94%D7%97%D7%99%D7%99%D7%9D_(%D7%A4%D7%90%D7%9C%D7%90%D7%92%27%D7%99)/%D7%A4%D7%AA%D7%99%D7%97%D7%AA_%D7%94%D7%A1%D7%A4%D7%A8","כף החיים (פאלאג'י)"
"8","    ",1,"he.m","https://he.m.wikisource.org/wiki/%D7%9B%D7%A3_%D7%94%D7%97%D7%99%D7%99%D7%9D_(%D7%A4%D7%90%D7%9C%D7%90%D7%92%27%D7%99)/%D7%A4%D7%AA%D7%99%D7%97%D7%AA_%D7%94%D7%A1%D7%A4%D7%A8","כף החיים (פאלאג'י)"
"9","עריכה",1,"he.m","https://he.m.wikisource.org/wiki/%D7%9B%D7%A3_%D7%94%D7%97%D7%99%D7%99%D7%9D_(%D7%A4%D7%90%D7%9C%D7%90%D7%92%27%D7%99)/%D7%A4%D7%AA%D7%99%D7%97%D7%AA_%D7%94%D7%A1%D7%A4%D7%A8","כף החיים (פאלאג'י)"
"10","",1,"he.m","https://he.m.wikisource.org/wiki/%D7%9B%D7%A3_%D7%94%D7%97%D7%99%D7%99%D7%9D_(%D7%A4%D7%90%D7%9C%D7%90%D7%92%27%D7%99)/%D7%A4%D7%AA%D7%99%D7%97%D7%AA_%D7%94%D7%A1%D7%A4%D7%A8","כף החיים (פאלאג'י)"
"11","",1,"he.m","https://he.m.wikisource.org/wiki/%D7%9B%D7%A3_%D7%94%D7%97%D7%99%D7%99%D7%9D_(%D7%A4%D7%90%D7%9C%D7%90%D7%92%27%D7%99)/%D7%A4%D7%AA%D7%99%D7%97%D7%AA_%D7%94%D7%A1%D7%A4%D7%A8","כף החיים (פאלאג'י)"
"12","",1,"he.m","https://he.m.wikisource.org/wiki/%D7%9B%D7%A3_%D7%94%D7%97%D7%99%D7%99%D7%9D_(%D7%A4%D7%90%D7%9C%D7%90%D7%92%27%D7%99)/%D7%A4%D7%AA%D7%99%D7%97%D7%AA_%D7%94%D7%A1%D7%A4%D7%A8","כף החיים (פאלאג'י)"
"13","",1,"he.m","https://he.m.wikisource.org/wiki/%D7%9B%D7%A3_%D7%94%D7%97%D7%99%D7%99%D7%9D_(%D7%A4%D7%90%D7%9C%D7%90%D7%92%27%D7%99)/%D7%A4%D7%AA%D7%99%D7%97%D7%AA_%D7%94%D7%A1%D7%A4%D7%A8","כף החיים (פאלאג'י)"
"14","כף לוקט כללי ופרטי, לקוטי בתר לקוטי, כף הקהל""ה דברי קהל""ת, אר""ש מגדל""ת, דאתו ממולא""י, מפום רבנן קמאי ובתראי, תוכחות מוסר ופסקי דינים, חדשים גם ישנים, את שידועים לנו ואת שאינן ידועין דמתקרי נכס""י, באזני עם הארץ וראו כל אפסי, עלה בקב""ץ הלכה והן מורין, אלה מפה ואלה מפה אלו נאמרין, ופנה לסוב""ב לעטי""ם מזומנים, לע""ט מצא לפי רוב השנים, ועוד חזון למועד לחדשי השנה במחבר""ת השניה אף ארשי'נו רעננה, את יגיע כפ""י והיה שארית דאספתי באומר'ים מראשית השנה ועד אחרית, ואשיבה ידי, שתי בה' מחסי ה' יגמור בעדי, הנשארת לכם מכף ",1,"he.m","https://he.m.wikisource.org/wiki/%D7%9B%D7%A3_%D7%94%D7%97%D7%99%D7%99%D7%9D_(%D7%A4%D7%90%D7%9C%D7%90%D7%92%27%D7%99)/%D7%A4%D7%AA%D7%99%D7%97%D7%AA_%D7%94%D7%A1%D7%A4%D7%A8","כף החיים (פאלאג'י)"
"15","כף בשקל הקדש זאת מצאנו, תורה צוה לנו, כאשר חכמים הגידו הא מילתא איתפרשא, דאתמר במדרשא, ברבה סדר נשא פרק י""ג וזה לשונו, כף אחת עשרה זהב מלאה קטורת, כף אחת כנגד הלוחות שנכתבו מיד הקדוש ברוך הוא כמד""א והלוחות מעשה אלהים המה והמכתב מכתב אלהים הוא, עשרה זהב אלו עשרת הדברות שהיו כתובים בלוחות כמד""א ויכתוב על הלוחות כמכתב הראשון, זהב, כמד""א ידיו גלילי זהב ואומר הנחמדים מזהב, מלאה קטורת שתרי""ג מצוות כלולות בהם, וכן את מוצא תרי""ג אותיות יש מאנכי עד אשר לרעך כנגד תרי""ג מצוות, ושבע יתירות כנגד שבעת ימי בראשית, ללמדך שכל העולם לא נברא אלא בזכות התורה, הוי מלאה קטורת, שכן ק' מתחלפת בד' בא""ת ב""ש ד""ק, ועולה חשבון התיבה אחר כן למנין תרי""ג, ולזבח השלמים בקר שנים, שתי תורות תורה שבכתב ותורה שבעל פה המקרא והמשנה, שכל המבקר וזובח את יצרו ועושה ככל הכתוב בהם הוא עושה שני שלומות, שלום למעלה ושלום למטה שנאמר או יחזיק במעוזי יעשה שלום לי שלום יעשה לי, עכ""ל. ",1,"he.m","https://he.m.wikisource.org/wiki/%D7%9B%D7%A3_%D7%94%D7%97%D7%99%D7%99%D7%9D_(%D7%A4%D7%90%D7%9C%D7%90%D7%92%27%D7%99)/%D7%A4%D7%AA%D7%99%D7%97%D7%AA_%D7%94%D7%A1%D7%A4%D7%A8","כף החיים (פאלאג'י)"
